data,provincia,produto,vendas
2024-01-05,Luanda,Eletronicos,320000
2024-01-12,Benguela,Alimentacao,145000
2024-01-18,Luanda,Vestuario,98000
2024-01-25,Huambo,Combustiveis,210000
2024-02-03,Luanda,Eletronicos,410000
2024-02-10,Cabinda,Farmacia,87000
2024-02-17,Benguela,Eletronicos,265000
2024-02-24,Luanda,Alimentacao,178000
2024-03-02,Namibe,Vestuario,54000
2024-03-09,Luanda,Combustiveis,392000
2024-03-16,Huambo,Eletronicos,231000
2024-03-23,Benguela,Farmacia,102000
2024-04-01,Luanda,Eletronicos,2850000
2024-04-08,Malanje,Alimentacao,67000
2024-04-15,Luanda,Vestuario,143000
2024-04-22,Cabinda,Combustiveis,198000
2024-05-01,Benguela,Eletronicos,289000
2024-05-08,Luanda,Farmacia,165000
2024-05-15,Huambo,Alimentacao,112000
2024-05-22,Luanda,Eletronicos,356000
